item_name,label,label_en,showif
bfi_open_1,"Ich sehe mich selbst als jemanden, der originell ist, neue Ideen entwickelt.","I see myself as someone who is original, comes up with new ideas.",
narq_5,Ich genieße meine Erfolge sehr.,I enjoy my successes very much.,
narq_3,"Ich zeige anderen, was für ein besonderer Mensch ich bin.",I show other how special I am.,
bfi_agree_2,"Ich sehe mich selbst als jemanden, der hilfsbereit und selbstlos gegenüber anderen ist.",I see myself as someone who is helpful and unselfish with others.,
pvd_infectability_1,"Ich bin generell sehr anfällig für Erkältungen, Grippen und andere Infektionen.","I am generally very prone to colds, flus and other infections.",
bfi_consc_2r,"Ich sehe mich selbst als jemanden, der etwas achtlos sein kann.",I see myself as someone who can be somewhat careless.,
soi_r_attitude_6r,"Ich möchte nicht eher Sex mit jemandem haben, solange ich mir nicht sicher bin, dass es sich um eine ernste Langzeitbeziehung handelt.","I do not want to have sex with a person until I am sure that we will have a long-term, serious relationship.",
asendorpf_shyness_4r,"Ich finde es leicht, mit Fremden in Kontakt zu kommen.",It is easy for me to get in touch with strangers.,
bfi_neuro_2r,"Ich sehe mich selbst als jemanden, der entspannt ist, sich durch Stress nicht aus der Ruhe bringen lässt.","I see myself as someone who is relaxed, handles stress well.",
bfi_open_2,"Ich sehe mich selbst als jemanden, der vielseitig interessiert ist.",I see myself as someone who is curious about many different things.,
bfi_extra_1,"Ich sehe mich selbst als jemanden, der gesprächig ist, sich gerne unterhält.",I see myself as someone who is talkative.,
bfi_extra_3,"Ich sehe mich selbst als jemanden, der voller Energie und Tatendrang ist.",I see myself as someone who is full of energy.,
bfi_agree_3r,"Ich sehe mich selbst als jemanden, der häufig in Streitereien verwickelt ist.",I see myself as someone who starts quarrels with others.,
soi_r_attitude_4,"Ich finde, Sex ohne Liebe ist ok.",Sex without love is OK.,
narq_15,"Ich ziehe viel Kraft daraus, eine ganz besondere Person zu sein.",Being a very special person gives me a lot of strength.,
bfi_consc_3,"Ich sehe mich selbst als jemanden, der zuverlässig ist und gewissenhaft.",I see myself as someone who is a reliable worker.,
soi_r_attitude_5,"Ich könnte mir vorstellen, dass ich ""unverbindlichen"" Sex mit verschiedenen Personen genieße und mich dabei wohl fühle.","I can imagine myself being comfortable and enjoying ""casual"" sex with different partners.",
narq_2,Ich werde einmal berühmt sein.,I will someday be famous.,
asendorpf_shyness_2,Ich fühle mich anderen gegenüber gehemmt.,I feel inhibited when I am with other people.,
bfi_agree_1r,"Ich sehe mich selbst als jemanden, der dazu neigt, andere zu kritisieren.",I see myself as someone who tends to find fault with others.,
bfi_consc_1,"Ich sehe mich selbst als jemanden, der Aufgaben gründlich erledigt.",I see myself as someone who does a thorough job.,
narq_11,Ich reagiere häufig gereizt auf Kritik.,I often get annoyed when I am criticized.,
bfi_neuro_1,"Ich sehe mich selbst als jemanden, der deprimiert, niedergeschlagen ist.","I see myself as someone who is depressed, blue.",
bfi_extra_2r,"Ich sehe mich selbst als jemanden, der eher zurückhaltend und reserviert ist.",I see myself as someone who is reserved.,
bfi_neuro_3,"Ich sehe mich selbst als jemanden, der leicht angespannt reagiert.",I see myself as someone who an be tense.,
narq_18,Ich verhalte mich im Umgang mit anderen meist überaus gewandt.,"Mostly, I am very adept at dealing with other people.",
bfi_open_3,"Ich sehe mich selbst als jemanden, der tiefsinnig ist, gern über Sachen nachdenkt.","I see myself as someone who is ingenious, a deep thinker.",
asendorpf_shyness_5,Ich fühle mich auf Parties und in anderen größeren Gruppen unwohl.,I feel uneasy at parties and in large groups.,
bfi_extra_4,"Ich sehe mich selbst als jemanden, der begeisterungsfähig ist, andere mitreißen kann.",I see myself as someone who generates a lot of enthusiasm.,
narq_16,Mit meinen besonderen Beiträgen schaffe ich es im Mittelpunkt zu stehen.,I manage to be the center of attention with my outstanding contributions.,
bfi_agree_4,"Ich sehe mich selbst als jemanden, der __nicht__ nachtragend ist, anderen leicht vergibt.",I see myself as someone who has a forgiving nature.,
bfi_consc_9r,"Ich sehe mich selbst als jemanden, der dazu neigt, unordentlich zu sein.",I see myself as someone who tends to be disorganized.,
bfi_neuro_4,"Ich sehe mich selbst als jemanden, der sich viele Sorgen macht.",I see myself as someone who worries a lot.,
bfi_open_4,"Ich sehe mich selbst als jemanden, der eine lebhafte Vorstellungskraft hat, fantasievoll ist.",I see myself as someone who has an active imagination.,
bfi_extra_5r,"Ich sehe mich selbst als jemanden, der eher still und wortkarg ist.",I see myself as someone who tends to be quiet.,
bfi_agree_5,"Ich sehe mich selbst als jemanden, der anderen Vertrauen schenkt.",I see myself as someone who is generally trusting.,
narq_1,Ich bin großartig.,I am great.,
bfi_consc_4r,"Ich sehe mich selbst als jemanden, der bequem ist und zur Faulheit neigt.",I see myself as someone who tends to be lazy.,
bfi_neuro_5r,"Ich sehe mich selbst als jemanden, der __nicht__ leicht aus der Fassung zu bringen ist.","I see myself as someone who is emotionally stable, not easily upset.",
bfi_open_5,"Ich sehe mich selbst als jemanden, der erfinderisch und einfallsreich ist.",I see myself as someone who is inventive.,
bfi_extra_6,"Ich sehe mich selbst als jemanden, der durchsetzungsfähig und energisch ist.",I see myself as someone who has an assertive personality.,
narq_14,Andere Menschen sind nichts wert.,Other people are worth nothing.,
bfi_agree_6r,"Ich sehe mich selbst als jemanden, der sich kalt und distanziert verhalten kann.",I see myself as someone who can be cold and aloof.,
bfi_consc_5,"Ich sehe mich selbst als jemanden, der __nicht__ aufgibt, ehe die Aufgabe erledigt ist.",I see myself as someone who perserveres until the task is finished.,
asendorpf_shyness_3r,Ich gehe ungezwungen auf andere Menschen zu.,I easily approach others.,
pvd_germ_aversion_2,"Ich mag es __nicht__ mit einem Stift zu schreiben, an dem offensichtlich eine andere Person gekaut hat.",I _don't_ like using a pencil which another person has obviously chewed on.,
pvd_germ_aversion_3R,"Es macht mir nichts aus, mit einem Freund eine Wasserflasche zu teilen.",I don't mind sharing a water bottle with a friend.,
bfi_neuro_8,"Ich sehe mich selbst als jemanden, der launisch sein kann, schwankende Stimmungen hat.",I see myself as someone who can be moody.,
pvd_infectability_3R,"Mein Immunsystem schützt mich vor den meisten Krankheiten, die andere Leute bekommen.",My immune system protects me from most illnesses which other people get.,
pvd_germ_aversion_1,"Am liebsten wasche ich meine Hände direkt, nachdem ich jemandem die Hände geschüttelt habe.",I preferably wash my hands directly after shaking someones hand.,
feel_safe_walking_dark,"Ich fühle mich in meiner Gegend sicher, wenn ich alleine in der Dunkelheit unterwegs bin.",I feel safe in my neighbourhood when I am out and about alone at night.,
feel_safe_violent_crime,Ich fühle mich in meiner Gegend sicher vor Gewaltverbrechen.,I feel safe from violent crimes in my neighbourhood.,
feel_safe_sexual_assault,Ich fühle mich in meiner Gegend sicher vor sexuellen Übergriffen.,I feel safe from sexual assaults in my neighbourhood.,
feel_safe_theft,Ich fühle mich in meiner Gegend sicher vor Diebstahl.,I feel safe from theft in my neighbourhood.,
bfi_open_6,"Ich sehe mich selbst als jemanden, der künstlerische und ästhetische Eindrücke schätzt.","I see myself as someone who values artistic, aesthetic experiences.",
narq_17,Die meisten Menschen sind ziemliche Versager.,Most people are somehow losers.,
bfi_extra_7r,"Ich sehe mich selbst als jemanden, der manchmal schüchtern und gehemmt ist.","I see myself as someone who is sometimes shy, inhibited.",
bfi_agree_7,"Ich sehe mich selbst als jemanden, der rücksichtsvoll und einfühlsam zu anderen ist.",I see myself as someone who is considerate and kind to almost everyone.,
narq_4,"Ich reagiere genervt, wenn eine andere Person mir die Schau stiehlt.",I react annoyed if another person steals the show from me.,
asendorpf_shyness_1,Ich fühle mich in Gegenwart anderer schüchtern.,I feel shy in the presence of others.,
bfi_consc_6,"Ich sehe mich selbst als jemanden, der tüchtig ist und flott arbeitet.",I see myself as someone who does things efficiently.,
bfi_neuro_6r,"Ich sehe mich selbst als jemanden, der ruhig bleibt, selbst in angespannten Situationen ausgeglichen ist.",I see myself as someone who remains calm in tense situations.,
bfi_open_7r,"Ich sehe mich selbst als jemanden, der routinemäßige und einfache Aufgaben bevorzugt.",I see myself as someone who preferes work that is routine.,
narq_13,Die meisten Menschen werden es zu nichts bringen.,Most people won't achieve anything.,
bfi_extra_8,"Ich sehe mich selbst als jemanden, der aus sich heraus geht, gesellig ist.","I see myself as someone who is outgoing, sociable.",
bfi_agree_8r,"Ich sehe mich selbst als jemanden, der schroff und abweisend zu anderen sein kann.",I see myself as someone who is sometimes rude to others.,
narq_6,"Es freut mich insgeheim, wenn meine Gegner scheitern.",I secretly take pleasure in the failures of my rivals.,
bfi_consc_7,"Ich sehe mich selbst als jemanden, der Pläne macht und diese auch durchführt.",I see myself as someone who makes plans and follows through with them.,
bfi_neuro_7,"Ich sehe mich selbst als jemanden, der leicht nervös und unsicher wird.",I see myself as someone who gets nervous easily.,
narq_7,"In Gesprächen gelingt es mir meist, die Aufmerksamkeit der Anwesenden auf mich zu ziehen.",Most of the time I am able to draw people's attention to myself in conversations.,
bfi_open_8,"Ich sehe mich selbst als jemanden, der gerne Überlegungen anstellt, mit Ideen spielt.","I see myself as someone who likes to reflect, play with ideas.",
narq_12,"Ich ertrage es nur schlecht, wenn eine andere Person Mittelpunkt des Geschehens ist.",I can barely stand it if another person is at the center of events.,
bfi_open_9r,"Ich sehe mich selbst als jemanden, der nur wenig künstlerisches Interesse hat.",I see myself as someone who has few artistic interests.,
bfi_agree_9,"Ich sehe mich selbst als jemanden, der sich kooperativ verhält, Zusammenarbeit dem Wettbewerb vorzieht.",I see myself as someone who likes to cooperate with others.,
narq_8,"Ich habe es verdient, als große Persönlichkeit angesehen zu werden.",I deserve to be seen as a great personality.,
bfi_consc_8r,"Ich sehe mich selbst als jemanden, der leicht ablenkbar ist, nicht bei der Sache bleibt.",I see myself as someone who is easily distracted.,
narq_9,"Ich will, dass meine Konkurrenten scheitern.",I want my rivals to fail.,
narq_10,"Ich genieße es, wenn ein anderer Mensch mir unterlegen ist.",I enjoy it when another person is inferior to me.,
bfi_open_10,"Ich sehe mich selbst als jemanden, der sich gut in Musik, Kunst und Literatur auskennt.","I see myself as someone who is sophisticated in art, music and/or literature.",
pvd_infectability_2,"Wenn eine Krankheit „gerade umgeht“, bekomme ich sie bestimmt auch.","If there is an illness ""going around"" I'll probably catch it too.",
pvd_germ_aversion_4R,"Es macht mir keine Sorgen, von kranken Menschen umgeben zu sein.",I don't worry when I'm surrounded by people who are ill.,
spms_partner_1,Frauen bemerken meinen Partner.,Women take notice of my partner.,s1_demo$hetero_relationship == 1
spms_partner_2,Frauen fühlen sich zu meinem Partner hingezogen.,Women feel attracted towards my partner.,s1_demo$hetero_relationship == 1
spms_partner_3R,Mein Partner bekommt von Frauen nur selten Komplimente.,My partner seldomly recieves compliments from women.,s1_demo$hetero_relationship == 1
satisfaction_sexual_intercourse,Der Sex mit meinem Partner ist sehr befriedigend.,The sex with my partner is very satisfying.,s1_demo$hetero_relationship == 1
satisfaction_single_life,Ich bin zufrieden mit meinem Singleleben.,I am happy with my single life.,s1_demo$hetero_relationship == 0
investment_potential_partner,"Ich investiere viel, um jemanden kennenzulernen.",I invest a lot in order to get to know someone.,s1_demo$hetero_relationship == 0
quantity_potential_partner,Es befinden sich viele annehmbare Singles in meiner Umgebung.,There are many acceptable singles in my surrounding area.,s1_demo$hetero_relationship == 0
relationship_importance,Mir ist die Beziehung zu meinem Partner sehr wichtig.,The relationship with my partner is very important to me.,s1_demo$hetero_relationship == 1
relationship_importance_partner,Meinem Partner ist die Beziehung zu mir sehr wichtig.,The relationship with me is very important to my partner.,s1_demo$hetero_relationship == 1
partner_attractiveness_longterm,Mein Partner ist sehr attraktiv für eine langfristige Beziehung (z.B. als möglicher Ehepartner).,My partner is very attractive for a long-term relationship (e.g. as a spouse).,s1_demo$hetero_relationship == 1
partner_attractiveness_shortterm,Mein Partner ist sehr attraktiv für einen One-Night-Stand oder eine kurze sexuelle Affäre.,My partner is very attractive for a One-Night-Stand or a short sexual affair.,s1_demo$hetero_relationship == 1
partner_attractiveness_face,Ich finde das Gesicht meines Partners sehr attraktiv.,My partners face is very attractive to me.,s1_demo$hetero_relationship == 1
partner_attractiveness_body,Ich finde meinen Partner körperlich sehr attraktiv.,I think my partner is very physically attractive.,s1_demo$hetero_relationship == 1
attractiveness_warmth,Ich fühle mich bei meinem Partner sehr geborgen.,I feel very secure when I am with my partner.,s1_demo$hetero_relationship == 1
partner_attractiveness_trust,Das Vertrauen zwischen meinem Partner und mir ist sehr stark.,My partner and I trust each other strongly.,s1_demo$hetero_relationship == 1
partner_sexiness,Mein Partner ist sehr sexy.,My partner is very sexy.,s1_demo$hetero_relationship == 1
partner_strength,Mein Partner ist körperlich stärker als viele andere Männer.,My partner is physically stronger than a lot of other men.,s1_demo$hetero_relationship == 1
partner_feel_safe,Mit meinem Partner fühle ich mich sehr sicher.,My partner makes my feel very safe.,s1_demo$hetero_relationship == 1
spms_self_1,Männer bemerken mich.,Men notice me.,
spms_self_2,Männer fühlen sich zu mir hingezogen.,Men feel attracted towards me.,
spms_self_3R,Ich bekomme von Männern nur selten Komplimente.,I seldomly recieve compliments from men.,
soi_r_desire_9,"Wie oft haben Sie im Alltag spontan Fantasievorstellungen, Sex mit einer fremden Person zu haben, die Sie irgendwo zufällig gesehen haben?",How often in your everyday life do you spontaneously fantasize about having sex with a stranger who you coincidentally saw somewhere?,
soi_r_desire_7,"Wie oft haben Sie Fantasievorstellungen, Sex mit einer Person zu haben, mit der Sie zur Zeit keine feste Beziehung führen?",How often do you fantasize about having sex with a person with whom you are not in a relationship at the moment?,
soi_r_desire_8,"Wie oft empfinden Sie sexuelle Erregung im Kontakt mit Personen, mit denen Sie zur Zeit keine feste Beziehung führen?",How often do you experience sexual arousal when you are in contact with people with which you are not in a relationship at the moment?,
relationship_problems,Es gibt viele Probleme in meiner Beziehung.,There are many problems in my relationship.,s1_demo$hetero_relationship == 1
relationship_satisfaction_overall,Ich bin im Großen und Ganzen zufrieden mit meiner Beziehung.,All in all I am happy with my relationship.,s1_demo$hetero_relationship == 1
relationship_conflict,Es gibt oft Streit/Meinungsverschiedenheiten in meiner Partnerschaft.,There are often quarrels/disagreements in my partnership.,s1_demo$hetero_relationship == 1
relationship_satisfaction_2,"In unserer Beziehung werden meine Bedürfnisse (z.B. nach Intimität, Gemeinsamkeit, etc.) erfüllt.","My needs (e.g. intimacy, quality time, ...) are met in our relationship.",s1_demo$hetero_relationship == 1
relationship_satisfaction_3,Unsere Beziehung macht mich sehr glücklich.,Our relationship makes me very happy.,s1_demo$hetero_relationship == 1
alternatives_1,"Ich finde auch andere Personen als meinen Partner, mit denen ich eine Beziehung haben könnte, sehr anziehend.","I think other people besides my partner, that I could have a relationship with, are very attractive.",s1_demo$hetero_relationship == 1
alternatives_2,"Die Alternativen zu unserer Beziehung (z.B. andere Partnerschaft, mit Freunden zusammen sein, allein sein) sind für mich sehr reizvoll.","Alternatives to our relationship (e.g. other relationship, spending time with friends, spending time alone...) are very appealing to me.",s1_demo$hetero_relationship == 1
alternatives_3,"Ich flirte mit Männern, ohne dass diese wissen, dass ich in einer Partnerschaft bin.",I flirt with men without them knowing that I am in a relationship.,s1_demo$hetero_relationship == 1
alternatives_4,"Meine Bedürfnisse (z.B. nach Intimität, Gemeinsamkeit, etc.) könnten mit Leichtigkeit in einer anderen Beziehung erfüllt werden.","My needs (e.g. intimacy, quality time, ...) can easily be fulfilled in another relationship.",s1_demo$hetero_relationship == 1
alternatives_5,"Mir ist sehr bewusst, dass es ""da draußen"" noch viele andere attraktive potentielle Partner für mich gibt.","I am very aware of the fact that there are many other attractive partners ""out there"" for me.",s1_demo$hetero_relationship == 1
alternatives_6,"Es wäre leicht für mich, einen Partner für eine neue Beziehung zu finden.",It would be easy for me to find a partner for a new relationship.,s1_demo$hetero_relationship == 1
investment_1,"Ich habe viel in unsere Beziehung hineingesteckt, das ich verlieren würde, wenn die Beziehung zu Ende wäre.","I have invested a lot in this relationship, which I would loose, if it were to end.",s1_demo$hetero_relationship == 1
investment_2,"Viele Aspekte meines Lebens sind so eng mit meinem Partner verbunden (z.B. Freizeitgestaltung, gemeinsamer Freundes- und Bekanntenkreis), dass ich all dies verlieren würde, wenn wir uns trennen würden.","A lot of aspects of my life are so closely linked to my partner (e.g. leisure activities, mutual circle of friends and acquaintances) that I would lose them if we would break up.",s1_demo$hetero_relationship == 1
investment_3,"Ich investiere viel (z.B. Zeit, kleine Aufmerksamkeiten, Geschenke) in die Beziehung zu meinem Partner.","I invest a lot (e.g. time, small courtesies, gifts) into the relationship with my partner.",s1_demo$hetero_relationship == 1
commitment_1,"Ich möchte, dass unsere Beziehung noch sehr lange dauert.",I wish that our relationship lasts for a very long time.,s1_demo$hetero_relationship == 1
commitment_2,"Ich orientiere mich an einer langfristigen Zukunft unserer Partnerschaft (z.B. stelle mir unser Zusammensein in einigen Jahren vor, mache Pläne für die Zukunft).","I am oriented towards a long-term future of our relationship (e.g. picture us being together in a few years time, make plans for the future).",s1_demo$hetero_relationship == 1
commitment_3,"Es würde mich sehr aus der Fassung bringen, wenn unsere Beziehung in nächster Zeit enden würde.",I would throw me very off balance if our relationship were to end in the near future.,s1_demo$hetero_relationship == 1
communal_strength_1,Die Bedürfnisse meines Partners zu erfüllen hat für mich hohe Priorität.,To meet the needs of my partner is a high priority for me.,s1_demo$hetero_relationship == 1
communal_strength_2R,Für meinen Partner Opfer zu bringen widerstrebt mir.,I am opposed to making sacrifices for my partner.,s1_demo$hetero_relationship == 1
communal_strength_3,Ich würde keine Mühen scheuen um etwas für meinen Partner zu tun.,I would go out of my way in order to do something for my partner.,s1_demo$hetero_relationship == 1
communal_strength_4,"Wenn es meinem Partner einmal nicht gut geht, bin ich für ihn da, auch wenn ich dafür eigene Bedürfnisse hinten anstellen muss.","Whenever my partner doesn't feel well, I am there for him, even if it means pushing my own need to the background.
",s1_demo$hetero_relationship == 1
sexual_communal_strength_1,"Ich gebe mir große Mühe, um die sexuellen Bedürfnisse meines Partners zu erfüllen.",I try very hard to meet the sexual needs of my partner.,s1_demo$hetero_relationship == 1
sexual_communal_strength_2,Die sexuellen Bedürfnisse meines Partners zu erfüllen hat für mich hohe Priorität.,The sexual needs of my partner are of high priority to me.,s1_demo$hetero_relationship == 1
sexual_communal_strength_3,"Um die sexuellen Bedürfnisse meines Partners zu erfüllen, bin ich bereit, meine eigenen sexuellen Bedürfnisse hintenan zu stellen.",I order to meet the sexual need of my partner I am willing to push my own sexual needs to the background.,s1_demo$hetero_relationship == 1
ecr_avo_1R,"Es hilft mir, mich an meinen Partner zu wenden, wenn ich es brauche.",It helps me to turn to my partner when I need it.,s1_demo$hetero_relationship == 1
ecr_anx_1,"Ich brauche die Bestätigung, dass mein Partner mich liebt.",I need the affirmation that my partner loves me.,s1_demo$hetero_relationship == 1
ecr_avo_2,"Ich möchte meinem Partner nahe sein, halte mich aber trotzdem zurück.","I want to be close to my partner, but I hold back nonetheless.",s1_demo$hetero_relationship == 1
ecr_anx_2,Mein Verlangen nach Nähe schreckt meinen Partner manchmal ab.,My need for closeness sometimes drives my partner away.,s1_demo$hetero_relationship == 1
ecr_anx_3,"Ich finde, mein Partner will __nicht__ so viel Nähe wie ich.",I think that my partner _doesn't_ want as much closeness as me.,s1_demo$hetero_relationship == 1
ecr_avo_3R,"Ich wende mich oft an meinen Partner, z. B. wenn ich Trost oder Bestätigung brauche.","I often turn to my partner, e.g. when I need comfort or support.",s1_demo$hetero_relationship == 1
ecr_avo_4,"Ich versuche zu vermeiden, meinem Partner zu nahe zu kommen.",I try to avoid getting to close to my partner.,s1_demo$hetero_relationship == 1
ecr_anx_4R,"Ich mache mir kaum Gedanken darüber, dass ich verlassen werden könnte.",I hardly think about how I could be broken up with.,s1_demo$hetero_relationship == 1
ecr_avo_5R,Ich bespreche meine Sorgen und Probleme meistens mit meinem Partner.,I mostly discuss my worries and problems with my partner.,s1_demo$hetero_relationship == 1
ecr_anx_5,"Es frustriert mich, wenn ich gerne meinen Partner bei mir hätte und er nicht da ist.",It frustrates me when I'd like to have my partner by my side and he isn't there.,s1_demo$hetero_relationship == 1
ecr_avo_6,"Ich werde nervös, wenn mein Partner mir zu nahe kommt.",I become nervous when my partner tries to get too close to me.,s1_demo$hetero_relationship == 1
ecr_anx_6,"Ich mache mir Gedanken darüber, dass  mein Partner sich nicht so um mich kümmert wie ich mich um ihn.",I wonder whether my partner doesn't take care of me the way I take care of him.,s1_demo$hetero_relationship == 1
