item_1,item_2
bfi_open_1,narq_5
bfi_open_1,narq_3
bfi_open_1,bfi_agree_2
bfi_open_1,pvd_infectability_1
bfi_open_1,bfi_consc_2r
bfi_open_1,soi_r_attitude_6r
bfi_open_1,asendorpf_shyness_4r
bfi_open_1,bfi_neuro_2r
bfi_open_1,bfi_open_2
bfi_open_1,bfi_extra_1
bfi_open_1,bfi_extra_3
bfi_open_1,bfi_agree_3r
bfi_open_1,soi_r_attitude_4
bfi_open_1,narq_15
bfi_open_1,bfi_consc_3
bfi_open_1,soi_r_attitude_5
bfi_open_1,narq_2
bfi_open_1,asendorpf_shyness_2
bfi_open_1,bfi_agree_1r
bfi_open_1,bfi_consc_1
bfi_open_1,narq_11
bfi_open_1,bfi_neuro_1
bfi_open_1,bfi_extra_2r
bfi_open_1,bfi_neuro_3
bfi_open_1,narq_18
bfi_open_1,bfi_open_3
bfi_open_1,asendorpf_shyness_5
bfi_open_1,bfi_extra_4
bfi_open_1,narq_16
bfi_open_1,bfi_agree_4
bfi_open_1,bfi_consc_9r
bfi_open_1,bfi_neuro_4
bfi_open_1,bfi_open_4
bfi_open_1,bfi_extra_5r
bfi_open_1,bfi_agree_5
bfi_open_1,narq_1
bfi_open_1,bfi_consc_4r
bfi_open_1,bfi_neuro_5r
bfi_open_1,bfi_open_5
bfi_open_1,bfi_extra_6
bfi_open_1,narq_14
bfi_open_1,bfi_agree_6r
bfi_open_1,bfi_consc_5
bfi_open_1,asendorpf_shyness_3r
bfi_open_1,pvd_germ_aversion_2
bfi_open_1,pvd_germ_aversion_3R
bfi_open_1,bfi_neuro_8
bfi_open_1,pvd_infectability_3R
bfi_open_1,pvd_germ_aversion_1
bfi_open_1,feel_safe_walking_dark
bfi_open_1,feel_safe_violent_crime
bfi_open_1,feel_safe_sexual_assault
bfi_open_1,feel_safe_theft
bfi_open_1,bfi_open_6
bfi_open_1,narq_17
bfi_open_1,bfi_extra_7r
bfi_open_1,bfi_agree_7
bfi_open_1,narq_4
