dataset,regime,u,f,s,draw,n_corrupted,restored_frac,n_clean,wrongly_flipped_frac,restored_frac_unmarked,n_unmarked,restored_frac_falsely_marked,n_falsely_marked,restored_frac_inverted_scale,n_inverted_scale
pilot_holdout,full,0.0,0.03,0.03,0,34,0.11764705882352941,705,0.019858156028368795,,0,0.2857142857142857,14,0.0,20
pilot_holdout,full,0.0,0.03,0.03,1,27,0.2962962962962963,712,0.018258426966292134,,0,0.6153846153846154,13,0.0,13
pilot_holdout,full,0.0,0.03,0.03,2,26,0.34615384615384615,713,0.0182328190743338,,0,0.6428571428571429,14,0.0,12
pilot_holdout,full,0.0,0.03,0.03,3,29,0.41379310344827586,710,0.018309859154929577,,0,0.8571428571428571,14,0.0,15
pilot_holdout,full,0.0,0.03,0.03,4,37,0.2972972972972973,702,0.019943019943019943,,0,0.8461538461538461,13,0.0,23
pilot_holdout,full,0.0,0.03,0.03,5,26,0.2692307692307692,713,0.0182328190743338,,0,0.5,14,0.0,12
pilot_holdout,full,0.0,0.03,0.03,6,23,0.43478260869565216,716,0.018156424581005588,,0,0.7142857142857143,14,0.0,9
pilot_holdout,full,0.0,0.03,0.03,7,43,0.13953488372093023,696,0.017241379310344827,,0,0.46153846153846156,13,0.0,29
pilot_holdout,full,0.0,0.03,0.03,8,43,0.23255813953488372,696,0.01867816091954023,,0,0.7692307692307693,13,0.0,29
pilot_holdout,full,0.0,0.03,0.03,9,22,0.36363636363636365,717,0.01813110181311018,,0,0.5384615384615384,13,0.0,8
pilot_holdout,full,0.0,0.03,0.03,10,24,0.3333333333333333,715,0.02097902097902098,,0,0.5384615384615384,13,0.0,10
pilot_holdout,full,0.0,0.03,0.03,11,28,0.32142857142857145,711,0.01828410689170183,,0,0.6428571428571429,14,0.0,14
pilot_holdout,full,0.0,0.03,0.03,12,27,0.2222222222222222,712,0.016853932584269662,,0,0.42857142857142855,14,0.0,13
pilot_holdout,full,0.0,0.03,0.03,13,34,0.23529411764705882,705,0.018439716312056736,,0,0.5714285714285714,14,0.0,20
pilot_holdout,full,0.0,0.03,0.03,14,43,0.16279069767441862,696,0.020114942528735632,,0,0.5,14,0.0,29
pilot_holdout,full,0.0,0.03,0.03,15,34,0.2647058823529412,705,0.018439716312056736,,0,0.6428571428571429,14,0.0,20
pilot_holdout,full,0.0,0.03,0.03,16,26,0.3076923076923077,713,0.0182328190743338,,0,0.5714285714285714,14,0.0,12
pilot_holdout,full,0.0,0.03,0.03,17,33,0.30303030303030304,706,0.0169971671388102,,0,0.7692307692307693,13,0.0,19
pilot_holdout,full,0.0,0.03,0.03,18,23,0.391304347826087,716,0.018156424581005588,,0,0.6428571428571429,14,0.0,9
pilot_holdout,full,0.0,0.03,0.03,19,26,0.23076923076923078,713,0.019635343618513323,,0,0.42857142857142855,14,0.0,12
pilot_holdout,full,0.0,0.03,0.03,20,41,0.21951219512195122,698,0.015759312320916905,,0,0.5714285714285714,14,0.037037037037037035,27
pilot_holdout,full,0.0,0.03,0.03,21,54,0.25925925925925924,685,0.017518248175182483,,0,0.9285714285714286,14,0.025,40
pilot_holdout,full,0.0,0.03,0.03,22,52,0.21153846153846154,687,0.01601164483260553,,0,0.8333333333333334,12,0.0,38
pilot_holdout,full,0.0,0.03,0.03,23,34,0.23529411764705882,705,0.018439716312056736,,0,0.5714285714285714,14,0.0,20
pilot_holdout,full,0.0,0.03,0.03,24,26,0.3076923076923077,713,0.0182328190743338,,0,0.5714285714285714,14,0.0,12
pilot_holdout,full,0.0,0.03,0.03,25,36,0.2222222222222222,703,0.015647226173541962,,0,0.5,14,0.045454545454545456,22
pilot_holdout,full,0.0,0.03,0.03,26,26,0.3076923076923077,713,0.0182328190743338,,0,0.5714285714285714,14,0.0,12
pilot_holdout,full,0.0,0.03,0.03,27,25,0.32,714,0.02100840336134454,,0,0.5714285714285714,14,0.0,11
pilot_holdout,full,0.0,0.03,0.03,28,28,0.42857142857142855,711,0.01828410689170183,,0,0.8571428571428571,14,0.0,14
pilot_holdout,full,0.0,0.03,0.03,29,34,0.23529411764705882,705,0.019858156028368795,,0,0.5714285714285714,14,0.0,20
