dataset,regime,u,f,s,draw,variant,pearson_r,mae,sign_error_rate,rho,p_at_5,p_at_10,ndcg_at_10
pilot_holdout,full,0.0,0.03,0.03,0,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,0,documented,0.7593291252602498,0.12559172091697846,0.12673144511060574,0.5905183082474962,0.71858407079646,0.6168141592920354,0.864027852907407
pilot_holdout,full,0.0,0.03,0.03,0,aligned,0.7568741985943739,0.1262697198119847,0.12941906140169526,0.5844565836403945,0.720353982300885,0.6123893805309735,0.8629297693568122
pilot_holdout,full,0.0,0.03,0.03,0,hyperplane_old,0.5133129224878278,0.169565696973031,0.2466404796361381,0.4751288061438616,0.6548672566371682,0.5628318584070796,0.8095116643887372
pilot_holdout,full,0.0,0.03,0.03,1,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,1,documented,0.8049873325560783,0.12046139244192443,0.11536076080215009,0.5792320706999028,0.720353982300885,0.6097345132743364,0.858726142878378
pilot_holdout,full,0.0,0.03,0.03,1,aligned,0.8003669710956551,0.1213269931754868,0.11639445937564606,0.5790132821601742,0.720353982300885,0.6017699115044248,0.8600139919878002
pilot_holdout,full,0.0,0.03,0.03,1,hyperplane_old,0.5448769259403029,0.16594871712082668,0.23506305561298324,0.4677684735696362,0.6619469026548673,0.5654867256637168,0.812984247979966
pilot_holdout,full,0.0,0.03,0.03,2,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,2,documented,0.7999275075507533,0.1191758869215856,0.1085383502170767,0.59868947514391,0.7256637168141593,0.6106194690265488,0.8634547092576116
pilot_holdout,full,0.0,0.03,0.03,2,aligned,0.8029005954309436,0.11818685537805743,0.10895182964647508,0.6003065388525268,0.7327433628318585,0.6150442477876106,0.8672092079856326
pilot_holdout,full,0.0,0.03,0.03,2,hyperplane_old,0.5498984956991921,0.1648384417112155,0.2336158776100889,0.47882624896366366,0.6619469026548671,0.5663716814159292,0.8142461690315873
pilot_holdout,full,0.0,0.03,0.03,3,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,3,documented,0.790892061155451,0.11978069999950107,0.10833161050237751,0.5960786028387351,0.7274336283185839,0.611504424778761,0.8653315610946498
pilot_holdout,full,0.0,0.03,0.03,3,aligned,0.7931975024319968,0.11910533434896674,0.10667769278478395,0.5979529332497322,0.7309734513274336,0.6123893805309735,0.8674598580256079
pilot_holdout,full,0.0,0.03,0.03,3,hyperplane_old,0.5071226905529895,0.17059603184285774,0.2536696299359107,0.47275260683622083,0.6530973451327434,0.5566371681415929,0.8082667158313429
pilot_holdout,full,0.0,0.03,0.03,4,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
