number,DOI
0,10.1037/t59773-000
1,10.1037/t81612-000
2,10.1037/t82939-000
3,10.1037/t65878-000
4,10.1037/t22825-000
5,10.1037/t10215-000
6,10.1037/t83006-000
7,10.1037/t16274-000
8,10.1037/t25553-000
9,10.1037/t26531-000
10,10.1037/t73619-000
11,10.1037/t13507-000
12,10.1037/t43088-000
13,10.1037/t59897-000
14,10.1037/t09362-000
15,10.1037/t67111-000
16,10.1037/t46283-000
17,10.1037/t49699-000
18,10.1037/t23027-000
19,10.1037/t71397-000
20,10.1037/t79450-000
21,10.1037/t41942-000
22,10.1037/t45318-000
23,10.1037/t20306-000
24,10.1037/t16062-000
25,10.1037/t03579-000
26,10.1037/t32469-000
27,10.1037/t12458-000
28,10.1037/t47567-000
29,10.1037/t65995-000
30,10.1037/t64808-000
31,10.1037/t61189-000
32,10.1037/t29347-000
33,10.1037/t39651-000
34,10.1037/t59927-000
35,10.1037/t24208-000
36,10.1037/t73637-000
37,10.1037/t64389-000
38,10.1037/t18015-000
39,10.1037/t19759-000
40,10.1037/t41593-000
41,10.1037/t00304-000
42,10.1037/t12520-000
43,10.1037/t83314-000
44,10.1037/t19720-000
45,10.1037/t09773-000
46,10.1037/t62492-000
47,10.1037/t79676-000
48,10.1037/t32864-000
49,10.1037/t49134-000
50,10.1037/t82196-000
51,10.1037/t65816-000
52,10.1037/t50896-000
53,10.1037/t03195-000
54,10.1037/t14499-000
55,10.1037/t30076-000
56,10.1037/t87428-000
57,10.1037/t20628-000
58,10.1037/t68036-000
59,10.1037/t02909-000
60,10.1037/t65538-000
61,10.1037/t38042-000
62,10.1037/t11151-000
63,10.1037/t33709-000
64,10.1037/t21691-000
65,10.1037/t17957-000
66,10.1037/t74092-000
67,10.1037/t18862-000
68,10.1037/t71939-000
69,10.1037/t02129-000
70,10.1037/t33426-000
71,10.1037/t82561-000
72,10.1037/t87857-000
73,10.1037/t38655-000
74,10.1037/t09731-000
75,10.1037/t70528-000
76,10.1037/t79496-000
77,10.1037/t81148-000
78,10.1037/t35844-000
79,10.1037/t32030-000
80,10.1037/t42047-000
81,10.1037/t65278-000
82,10.1037/t70799-000
83,10.1037/t39573-000
84,10.1037/t21205-000
85,10.1037/t58246-000
86,10.1037/t82708-000
87,10.1037/t34021-000
88,10.1037/t81893-000
89,10.1037/t39455-000
90,10.1037/t45812-000
91,10.1037/t22167-000
92,10.1037/t20932-000
93,10.1037/t81615-000
94,10.1037/t78500-000
95,10.1037/t34559-000
96,10.1037/t71161-000
97,10.1037/t50416-000
98,10.1037/t08502-000
99,10.1037/t65875-000
100,10.1037/t68246-000
101,10.1037/t26349-000
102,10.1037/t79319-000
103,10.1037/t68342-000
104,10.1037/t08044-000
105,10.1037/t25825-000
106,10.1037/t69887-000
107,10.1037/t21444-000
108,10.1037/t09209-000
109,10.1037/t16098-000
110,10.1037/t72827-000
111,10.1037/t00463-000
112,10.1037/t50014-000
113,10.1037/t24700-000
114,10.1037/t78148-000
115,10.1037/t87231-000
116,10.1037/t07723-000
117,10.1037/t41402-000
118,10.1037/t52166-000
119,10.1037/t61195-000
120,10.1037/t20560-000
121,10.1037/t27504-000
122,10.1037/t24153-000
123,10.1037/t10198-000
124,10.1037/t11559-000
125,10.1037/t13392-000
126,10.1037/t81381-000
127,10.1037/t76071-000
128,10.1037/t05358-000
129,10.1037/t10424-000
130,10.1037/t16378-000
131,10.1037/t85560-000
132,10.1037/t06888-000
133,10.1037/t19956-000
134,10.1037/t41243-000
135,10.1037/t36713-000
136,10.1037/t65439-000
137,10.1037/t15326-000
138,10.1037/t51154-000
139,10.1037/t08980-000
140,10.1037/t78490-000
141,10.1037/t74212-000
142,10.1037/t23500-000
143,10.1037/t20404-000
144,10.1037/t21225-000
145,10.1037/t41230-000
146,10.1037/t13229-000
147,10.1037/t24858-000
148,10.1037/t50335-000
149,10.1037/t43095-000
150,10.1037/t79466-000
151,10.1037/t37920-000
152,10.1037/t83398-000
153,10.1037/t00873-000
154,10.1037/t66074-000
155,10.1037/t10852-000
156,10.1037/t72315-000
157,10.1037/t68356-000
158,10.1037/t34097-000
159,10.1037/t87674-000
160,10.1037/t17367-000
161,10.1037/t37263-000
162,10.1037/t20695-000
163,10.1037/t13579-000
164,10.1037/t83637-000
165,10.1037/t24409-000
166,10.1037/t70788-000
167,10.1037/t04315-000
168,10.1037/t33897-000
169,10.1037/t81407-000
170,10.1037/t03915-000
171,10.1037/t81388-000
172,10.1037/t26120-000
173,10.1037/t23711-000
174,10.1037/t24114-000
175,10.1037/t86792-000
176,10.1037/t51743-000
177,10.1037/t20857-000
178,10.1037/t62244-000
179,10.1037/t74882-000
180,10.1037/t14453-000
181,10.1037/t69963-000
182,10.1037/t20358-000
183,10.1037/t00259-000
184,10.1037/t46395-000
185,10.1037/t21652-000
186,10.1037/t42930-000
187,10.1037/t73811-000
188,10.1037/t31976-000
189,10.1037/t44504-000
190,10.1037/t02967-000
191,10.1037/t63251-000
192,10.1037/t53459-000
193,10.1037/t55272-000
194,10.1037/t12469-000
195,10.1037/t08068-000
196,10.1037/t86457-000
197,10.1037/t81916-000
198,10.1037/t15696-000
199,10.1037/t87796-000
200,10.1037/t25857-000
201,10.1037/t12657-000
202,10.1037/t77469-000
203,10.1037/t82883-000
204,10.1037/t11536-000
205,10.1037/t15399-000
206,10.1037/t10830-000
207,10.1037/t83140-000
208,10.1037/t19138-000
209,10.1037/t49913-000
210,10.1037/t73882-000
211,10.1037/t76285-000
212,10.1037/t47726-000
213,10.1037/t83814-000
214,10.1037/t59019-000
215,10.1037/t84311-000
